source_document,page_or_section,shunt_type,ligation_strategy,clinical_notes,instruction_snippet
Saphenous-Vein-Sparing.pdf,Page 70,2,,,"3.8.2	
Shunt Type 2
The deep veins are not involved in the classical 
closed shunt type 2 (see Fig. 3.19a). The recircu-
lation occurs only in the superficial veins. 
Consequently, a smaller volume o"
Saphenous-Vein-Sparing.pdf,Page 71,2,,,"type 1. 
(a) Refluxing great 
saphenous vein, escape 
point; sapheno-femoral 
junction, re-entry; direct 
perforator connecting 
the saphenous vein with 
the deep vein N1 → N2–
N1 on the left; on the "
Saphenous-Vein-Sparing.pdf,Page 71,2,,,"64
a
N1 – N2 – N1  
N1 – N2 – N1  
b
Fig. 3.22  Shunt type 1. 
(a) Refluxing great 
saphenous vein, escape 
point; sapheno-femoral 
junction, re-entry; direct 
perforator connecting 
the saphenous vei"
Saphenous-Vein-Sparing.pdf,Page 72,2A,,,"type 2A shunt, the escape point is from N2 
to N3, without saphenous vein incompetence, so 
characterizing a mild N3 overload is easy to be 
treated by the interruption of the N3 flush at the 
conflue"
Saphenous-Vein-Sparing.pdf,Page 72,2B,,,"type 2B. Reflux in the great saphenous 
vein without escape point, filling a refluxing tributary. 
This one drains: (a) Into the saphenous vein (closed 
shunt), (b) Into the other saphenous vein (open"
Saphenous-Vein-Sparing.pdf,Page 72,2C,,,"•	 C In case reflux with no escape point is found 
in the saphenous vein above the refluxive trib-
utary and—in addition to the refluxive tribu-
tary—a draining perforator is found on the 
course of t"
Saphenous-Vein-Sparing.pdf,Page 73,2C,,,"type 2C shunt is like 2B except for the 
presence of one or more re-entry perforators 
draining the saphenous vein high refluxing seg-
ment. These re-entry point could ease the drain-
age of the N2 re"
Saphenous-Vein-Sparing.pdf,Page 73,1,,,"type 1, the “pure” form—
without refluxive tributaries—is seldom. Most of 
the times, in addition to the recirculation ­affecting 
the saphenous vein and draining through a perfo-
rator, refluxive tri"
Saphenous-Vein-Sparing.pdf,Page 73,3,,,"type 3 is a connection between the deep 
veins and the N2 network (N1  →  N2). The 
­saphenous vein is filled directly from the deep 
vein, either through a saphenous junction or a 
perforating vein. "
Saphenous-Vein-Sparing.pdf,Page 73,3,,,"type 3, the reflux begins in the 
saphenous vein having originated from the deep 
veins. Thereafter it does not flow from the 
saphenous vein into the deep system directly but 
through an intermediate"
Saphenous-Vein-Sparing.pdf,Page 74,4,,,"type 4, the commonest, Fig. 3.27a) or from a 
perforating vein, which fills the saphenous vein 
through a tributary (perforating shunt type 4"
Saphenous-Vein-Sparing.pdf,Page 74,3,,,"type 3. 
Reflux from the deep 
vein fills the great 
saphenous vein and 
drains through a 
tributary. The segment 
of the great saphenous 
vein immediately distal 
to the offspring of the 
refluxive t"
Saphenous-Vein-Sparing.pdf,Page 74,4,,,"3.8.5	
Shunt Type 4
In shunt type 4, the recirculation involves the 
saphenous vein. However, the reflux source is 
not N1–N2. There is no reflux through the junc-
tion or a direct perforating vein. "
Saphenous-Vein-Sparing.pdf,Page 75,4,,,"type 1, most 
often we find in addition to the drainage through 
the perforator connected to the saphenous vein 
one or more refluxive tributaries fed by the reflux-
ing saphenous vein. In analogy, th"
Saphenous-Vein-Sparing.pdf,Page 75,5,,,"type 5, less 
common (Fig.  3.29b). The pelvic shunt might 
feed the saphenous vein directly through a groin 
tributary or via a tributary, as described for shunt 
type 4"
Saphenous-Vein-Sparing.pdf,Page 75,5,,,"type 4, there are no draining perfo-
rating veins on the saphenous vein.
There are many possible reflux sources in 
pelvic shunt types 4 and 5.
–– The reflux enters the great saphenous vein 
through t"
Saphenous-Vein-Sparing.pdf,Page 75,4,,,"type 4. (a) Pelvic type feeding the saphenous vein via a groin tributary (left): P → N2–N1 or via a 
­subcutaneous tributary (right): P → N3–N2–N1, (b) Perforating type N1 → N3–N2–N1. With kind permis"
Saphenous-Vein-Sparing.pdf,Page 75,4,,,"3.8.6	
Shunt Type 4 + 2
The same as in the case of shunt type 1, most 
often we find in addition to the drainage through 
the perforator connected to the saphenous vein 
one or more refluxive tributa"
Saphenous-Vein-Sparing.pdf,Page 75,5,,,"3.8.7	
Shunt Type 5
In the shunt type 5, the reflux source into the 
saphenous vein is the same as shunt type 4. There 
is also the pelvic shunt type 5, the commonest 
(Fig. 3.29a), or a perforating "
Saphenous-Vein-Sparing.pdf,Page 76,5,,,"type 
4 + 2 reflux source as in 
Fig. 3.27, the principal 
drainage remains 
directly from the 
saphenous vein (N2–N1) 
irrespective of other 
refluxive tributary 
drainage points. (a) 
Pelvic type fe"
Saphenous-Vein-Sparing.pdf,Page 76,5,,,"3.8.8	
Shunt Type 6
All other possibilities of a recirculation circuit 
without refluxing pathways through the saphe-
a
b
P – (N3) – N2 – N1
N1 – N3 – N2 – N1
N3 – N1
N3 – N1
Fig. 3.28  Shunt type 
4"
Saphenous-Vein-Sparing.pdf,Page 77,4,,,"3.8.9	
Differentiation Between 
Shunt Type 1 and 3 or Type 4 
and 5
Differentiating between the two commonest 
shunt types (1 and 3) and the less common shunt 
types 4 and 5 has clear therapeutic imp"
Saphenous-Vein-Sparing.pdf,Page 77,1+2,,,"3.9.1	
Combination of Open 
deviated and Closed Shunts
Most of the time, two different shunt types coex-
ist in the different anatomical compartments.
A closed shunt with an escape point from N1 
to "
Saphenous-Vein-Sparing.pdf,Page 78,3,,,"type 1. The reflux profile 
remains unchanged starting at the beginning of muscular 
diastole. (c) Flow profile at the same point as in (a) with 
digital compression of the tributary in shunt type 3"
Saphenous-Vein-Sparing.pdf,Page 78,3,,,"71
Deep venous obstruction can lead to open 
bypassing shunts (see Fig. 3.20). After some time, 
the superficial vein gets dilated and, in case of a 
tributary, also varicose. Another scenario could b"
Saphenous-Vein-Sparing.pdf,Page 79,3,treatment strat,,"3.9.3	
Mixed Systolic and Diastolic 
Shunts
Mixed Shunts are constituted by one or more 
consecutive veins, competent or not, that play 
the role of open bypassing shunt during the mus-
cular systole"
Saphenous-Vein-Sparing.pdf,Page 85,5,,,"type 1 with 
additional drainage via a 
tributary. (b) Long-­
lasting reflux, longer 
than the display of the 
ultrasound screen (red 
line). This velocity is 
slow which is typical for 
a non-drained"
Saphenous-Vein-Sparing.pdf,Page 85,5,,,"4.3.1.1	 Standard Valsalva Manoeuvre
The Valsalva manoeuvre is a blocked expiration 
(closed glottis) similar to defecation, delivery or 
weight bearing. Valsalva provokes a retrograde 
flow if valve"
Saphenous-Vein-Sparing.pdf,Page 90,1,,,"4.4.2.2	 Incompetent Terminal Valve 
and Competent Preterminal 
Valve
If only the terminal valve is incompetent and the 
preterminal is not, then there will be a reflux 
emerging from the deep vein t"
Saphenous-Vein-Sparing.pdf,Page 91,2,,,"type 2, see 
Figs. 4.9, 4.10 and 4.11). It has also been called 
“para-ostial reflux”, as this reflux does not emerge 
through the ostium. This configuration needs a 
confident diagnosis for saphenous"
Saphenous-Vein-Sparing.pdf,Page 91,2,,,"4.4.2.3	 Competent Terminal Valve 
and Incompetent Preterminal 
Valve
This condition is one of the most difficult to detect 
with ultrasound investigation (Stücker type 2, see 
Figs. 4.9, 4.10 and 4."
Saphenous-Vein-Sparing.pdf,Page 91,1,,,"CFV
distal
cranial
Fig. 4.7  (a) Schematic representation of the SFJ with termi-
nal valve (green) and preterminal valve (violet) with legend 
for (b), Figs. 4.9 and 4.13. (b) Reflux path in case of i"
Saphenous-Vein-Sparing.pdf,Page 93,3,,,"type 3; see Fig.  4.13). It is 
important to demonstrate using ultrasound the 
origin of the reflux in the femoral vein and pass-
ing through the terminal valve (see Fig. 4.14).
4.4.2.5	 Summary: Ref"
Saphenous-Vein-Sparing.pdf,Page 93,3,,,"86
nal valve. Here the reflux arises from the femoral 
vein through the junction into the GSV and down 
the thigh (Stücker type 3; see Fig.  4.13). It is 
important to demonstrate using ultrasound the"
Saphenous-Vein-Sparing.pdf,Page 93,2,,,"GSV
Fig. 4.9  Schematic representation of a para-ostial reflux 
(Stücker type 2) with an incompetent terminal valve and 
competent preterminal valve. Reflux into the GSV is via 
an incompetent circumf"
Saphenous-Vein-Sparing.pdf,Page 94,2,,,"3. If only the reflux situation depicted on the right image 
was present, it would be an isolated epigastric reflux or 
para-ostial reflux, Stücker type 2
4  Duplex Ultrasound of Superficial Leg Veins"
Saphenous-Vein-Sparing.pdf,Page 95,3,treatment plan. Diameters at,,"88
Fig. 4.12  Examination of the competence of the terminal 
valve using PW: the competence or incompetence of the 
terminal valve is assessed with PW inside the femoral 
vein at the ostium level; the"
Saphenous-Vein-Sparing.pdf,Page 118,2,,,"4.11.3	 Flow Patterns After 
Extraluminal Valvuloplasty
After the extraluminal valvuloplasty, the GSV is 
expected to be competent (see Chap. 13). The 
refluxing tributaries, if left in situ, will no"
Saphenous-Vein-Sparing.pdf,Page 131,3,,,"type 3 (RET positive; 
see Sect. 3.8.9). Check up after some months, 
and if necessary interruption of the primary 
reflux point, if it has not become competent.
CHIVA 1"
Saphenous-Vein-Sparing.pdf,Page 131,3,,,"125
first step in case of shunt type 3 (RET positive; 
see Sect. 3.8.9). Check up after some months, 
and if necessary interruption of the primary 
reflux point, if it has not become competent."
Saphenous-Vein-Sparing.pdf,Page 131,3,"ligation of the primary and 
distal reflux sources with shunt type 3 instead 
of CHIVA 2 and lat",,"CHIVA 1 + 2: “Conservative, non-­haemodynamic 
procedure”
Simultaneous ligation of the primary and 
distal reflux sources with shunt type 3 instead 
of CHIVA 2 and later on second step. The 
result is"
Saphenous-Vein-Sparing.pdf,Page 135,1,,,"type 1 
(with perforating vein drainage) from shunt 3 
(without perforating vein drainage). The differ-
ence can easily be found with the reflux elimina-
tion test (RET; see Sect. 3.8.9 and Fig. 3.31)"
Saphenous-Vein-Sparing.pdf,Page 135,3,,,"type 3 made some problems: The CHIVA 
concept proposes to interrupt the veins at their 
pathological compartment jumps. This would 
mean to close the SFJ and the origin of the tribu-
tary (see Fig. 6."
Saphenous-Vein-Sparing.pdf,Page 135,1,,,"type 1 (see Fig. 6.3 left). But when closing 
the junction and the origin of the tributary, the 
Shunt Type 1"
Saphenous-Vein-Sparing.pdf,Page 135,3,,,"Type 3
Draining perforator 
No draining
on GSV
perforator on GSV
Same surgical procedure in both 
case"
Saphenous-Vein-Sparing.pdf,Page 136,3,,,"130
segment of saphenous vein between both 
­interruptions would remain “non-drained” in 
case of shunt type 3 (see Fig. 6.3 right) (see also 
Sect. 6.11.3 shunt type 3).
If only performing crossotomy"
Saphenous-Vein-Sparing.pdf,Page 136,3,,,"6.4.1.1	 Flow Conversion 
in the Saphenous Vein
Forty-two percent of patients with a shunt type 3 
have an antegrade flow after tributary disconnec-
tion in shunt type 3 after 1 year; this is stable "
Saphenous-Vein-Sparing.pdf,Page 138,3,"treatment in more than one step in 
case of shunt type 3 and fearing proximal throm-
bosis in the GS",,"treatment in more than one step in 
case of shunt type 3 and fearing proximal throm-
bosis in the GSV after applying first step of 
CHIVA"
Saphenous-Vein-Sparing.pdf,Page 138,3,"treatment in more than one step in 
case of shunt type 3 and fearing proximal throm-
bosis in the GS",,"6.4.2	
Devalvulation of GSV
To avoid the treatment in more than one step in 
case of shunt type 3 and fearing proximal throm-
bosis in the GSV after applying first step of"
Saphenous-Vein-Sparing.pdf,Page 139,3,,,"type 3. Distal to the 
refluxing tributary, on the antegrade segment 
of the GSV, a perforating vein is visible (most 
often the proximal paratibial or Boyd) (see 
Fig. 6.8b).
•	 Type B: Same situatio"
Saphenous-Vein-Sparing.pdf,Page 139,3,"Treatment decisions depend not only on the 
described conditions but also on the draining 
a
b
Fig. ",,"type 3 in one session, being 
sure to achieve a drained situation.
6.5	
Management 
of the Sapheno-femoral 
Junction
The great saphenous vein (GSV) is very often 
affected in varicose disease. The re"
Saphenous-Vein-Sparing.pdf,Page 141,1,treatment is a flush ligat,,"type 1 or 3 is dif-
ficult, because the vein is interfascial in its origin 
(N2) and only in its course it turns epifascial (N3) 
sometimes without any branching.
6.5.2.1	 Incompetent Terminal 
and C"
Saphenous-Vein-Sparing.pdf,Page 141,1,treatment options at,,"treatment options at groin level. Usually 
the AASV feeds a long visible tributary net, 
which often does not disappear completely after 
reflux abolition. So, a simultaneous sclerotherapy 
or phlebec"
Saphenous-Vein-Sparing.pdf,Page 141,1,treatment options at,,"6.5.2	
Incompetent Anterior 
Accessory Vein
In case of an incompetent terminal valve and 
competent preterminal valve, the reflux from the 
deep vein fills a short segment of the GSV and 
then escape"
Saphenous-Vein-Sparing.pdf,Page 143,3,,,"type 3). In addition, reflux 
in the AASV (N2/N3) as refluxing tributary (see 
Fig. 6.13a).
Usually in case"
Saphenous-Vein-Sparing.pdf,Page 143,3,"treatment 
is flush ligat",,"type 3, the treatment 
is flush ligation of both tributaries, followed by 
crossotomy after some months in over 50% of 
case"
Saphenous-Vein-Sparing.pdf,Page 143,3,,,"type 3 with two tributaries: one at 
distal thigh and one is the AASV. N1 
N2 
N3 – N1
N2/3 – N1
 
(b) Treatment in case"
Saphenous-Vein-Sparing.pdf,Page 143,3,"treatment 
is flush ligat",,"treatment 
is flush ligation of both tributaries, followed by 
crossotomy after some months in over 50% of 
cases (see Sect. 6.4.1). As the AASV has to be 
ligated in the groin itself, in case of a fu"
Saphenous-Vein-Sparing.pdf,Page 147,5,,,"type 4; see Fig. 6.17a) and a reflux-
ing tributary at the leg, the tributary at the leg can 
be treated (see Fig.  6.17b), leaving the pelvic 
reflux drained through the GSV and the perforat-
ing vei"
Saphenous-Vein-Sparing.pdf,Page 147,4,,,"GSV (shunt type 4; see Fig. 6.17a) and a reflux-
ing tributary at the leg, the tributary at the leg can 
be treated (see Fig.  6.17b), leaving the pelvic 
reflux drained through the GSV and the perfor"
Saphenous-Vein-Sparing.pdf,Page 147,5,,,"GSV (shunt type 5; see Fig. 6.18a), the interrup-
tion of the distal tributary will lead to a compe-
tent GSV in 97% of cases, stable throughout the 
time (see Fig. 6.18b) [13].
This is one of the opt"
Saphenous-Vein-Sparing.pdf,Page 148,4,,,"6.6.3	
Pelvic System Feeding 
Tributaries
A pelvic reflux feeds a tributary. The tributary is 
enlarged and can be seen through the skin at the 
inner thigh, ventral thigh or dorsal aspect of the 
a
"
Saphenous-Vein-Sparing.pdf,Page 149,5,"Treatment: interruption or phle-
bectomy of the tributary",,"type 5 with pelvic reflux, filling the 
GSV retrogradely, draining through a tributary fed by the 
GSV. There is no dilated, draining perforating vein con-
necting the GSV with the deep veins. The ter"
Saphenous-Vein-Sparing.pdf,Page 149,5,"treatment 
depending on the distal drainage explained for the 
GSV, also apply to the small saphenou",,"treatment 
depending on the distal drainage explained for the 
GSV, also apply to the small saphenous vein 
(SSV). Still there are some differences. In the SSV, 
we do not find a terminal and ­preterm"
Saphenous-Vein-Sparing.pdf,Page 149,5,,,"CHIVA context.
Figure 6.19 shows the different anatomical ele-
ments of the SPJ (see also Sect. 4.6). A particular-
ity of this junction, as compared to the SFJ, is that 
both the SSV itself and its “"
Saphenous-Vein-Sparing.pdf,Page 157,5,"treatment 
is the interruption at",,"type 5, Sect. 6.4.1.1 and 
ASVAL, Chap. 12).
a
b
No!!
Perh.
later 
Fig. 6.26  (a) Recirculation N1  →  N2  −  N1 with two 
well-separated draining perforating veins. The treatment 
is the interruption"
Saphenous-Vein-Sparing.pdf,Page 157,5,"treatment 
of tributaries can restore the flow in the saphe-
nous veins (shunt type 5, Sect. 6.4.1.1",,"treatment 
of tributaries can restore the flow in the saphe-
nous veins (shunt type 5, Sect. 6.4.1.1 and 
ASVAL, Chap. 12).
a
b
No!!
Perh.
later 
Fig. 6.26  (a) Recirculation N1  →  N2  −  N1 with two"
Saphenous-Vein-Sparing.pdf,Page 157,5,,,"6.10	
Management of Tributaries
Tributaries are all the superficial veins running 
in the subcutaneous tissue. When they become 
incompetent, they get enlarged and meander-
ing. Physiologically they "
Saphenous-Vein-Sparing.pdf,Page 159,1,,,"6.11.1	 Shunt Type 1
Remember: N1  →  N2  −  N1 (Fig.  6.3 left and 
Fig. 6.28)
Recirculation from the deep vein (N1) into 
the great or small saphenous vein (N2). A dis-
tended perforating vein carr"
Saphenous-Vein-Sparing.pdf,Page 160,1+2,,,"type 1 + 2 (see Fig. 6.28a).
The strategic decision will depend on where 
the reflux source is and how many re-entry points 
there are. The following possibilities exist, 
depending on the reflux sour"
Saphenous-Vein-Sparing.pdf,Page 160,1+2,,,"154
The principal recirculation runs: Deep–
Saphenous–Deep, with no intermediate tributary. 
One or more tributaries may be involved in the 
recirculation. Then, this shunt type is also called 
type 1"
Saphenous-Vein-Sparing.pdf,Page 160,1+2,,,"•	 Several perforating veins and no tributary
Interruption of the highest reflux source and 
the refluxing saphenous vein below the perfo-
a
b
c
d
Fig. 6.28  (a) Shunt type 1 with tributary or shunt t"
Saphenous-Vein-Sparing.pdf,Page 161,1,,,"CHIVA 2 will then be 
the interruption of the junction.
Alternatively, the SFJ can be interrupted, leav-
ing one tributary untreated so that it serves to 
drain the saphenous vein in addition to the 
"
Saphenous-Vein-Sparing.pdf,Page 161,2,,,"Type 2
Remember: N2 → N3 − N2/1
Recirculation from a (healthy) saphenous vein 
into a refluxing tributary (see Fig. 6.29).
The calibre of these refluxing tributaries is 
not very large, since the reci"
Saphenous-Vein-Sparing.pdf,Page 161,1,ligation at,,"ligation at the 
saphenous vein. At the post-operative exami-
nation, the junction will still be refluxing and 
the saphenous vein calibre lessened. The per-
forating vein will have adapted its calibr"
Saphenous-Vein-Sparing.pdf,Page 162,3,,,"Type 3
Remember: N1 → N2 → N3 − (N2) − N1.
Recirculation from the deep veins into one of 
the saphenous veins and then through one or 
more tributaries back into the deep vein system. 
There is no dis"
Saphenous-Vein-Sparing.pdf,Page 162,3,,,"type 1, this strategy depends on 
the source and re-entry point of the reflux. 
6.11.3.1	
Shunt Type 3"
Saphenous-Vein-Sparing.pdf,Page 162,2,,,"type 2: N2  →  N3 (=N4T)  −  (different) N2. 
Remember: N4 means N3 connecting two saphenous 
veins, in this case"
Saphenous-Vein-Sparing.pdf,Page 162,1,"treatment is described in detail in 
Sect. 6.4.1. The fact that",,"treatment is described in detail in 
Sect. 6.4.1. The fact that it cannot be treated leaving 
a stable, drained situation in one session without 
devalvulation (see Sect. 6.4.2) makes this shunt the 
"
Saphenous-Vein-Sparing.pdf,Page 162,2,"ligation of 
all refluxing tributaries where they join the saphe-
nous vein (first",,"ligation of 
all refluxing tributaries where they join the saphe-
nous vein (first step of CHIVA 2).
Follow-up with duplex after at least 6 weeks:
•	 Proximal saphenous vein is competent: 
Follow-­up "
Saphenous-Vein-Sparing.pdf,Page 163,3,,,"Type 3 
with the Highest Reflux 
Source Is a Perforating Vein
This is a rare condition, mainly through a perfo-
rating vein at the thigh. Usual procedure at shunt 
type 3"
Saphenous-Vein-Sparing.pdf,Page 163,3,,,"type 3 with different draining pathways. 
The black star marks the point, where the first step of 
CHIVA 2"
Saphenous-Vein-Sparing.pdf,Page 163,3,"ligation of the CHIVA 2 point only 
and control of perforat",,"ligation of the CHIVA 2 point only 
and control of perforating vein at follow-up. 
Only if there is still a reflux in the perforating 
vein and a new tributary has developed, per-
form the interruptio"
Saphenous-Vein-Sparing.pdf,Page 164,3,,,"type 1 with a perfo-
rating vein on the saphenous vein; but, below the 
perforating vein, the blood drainage corresponds 
to shunt type 3"
Saphenous-Vein-Sparing.pdf,Page 164,1,,,"type 1 procedure expects, 
the tributary is obliged to serve as drainage for 
the distal, antegrade section of the GSV.  This 
will not produce a good cosmetic outcome. The 
upper section should there"
Saphenous-Vein-Sparing.pdf,Page 165,3,Treatment options for the first,,"Treatment options for the first step of CHIVA 2 in 
shunt type 3. (a) One draining tributary—interruption of the 
draining vessel at its junction with the saphenous vein. 
N1 
N2 
N3 – N1
–
 (b) One d"
Saphenous-Vein-Sparing.pdf,Page 165,3,Treatment options for the first,,"6.11.3.6	
Examples of Shunt Type 3 Cases
As shunt type 3 and CHIVA 2 are the most revo-
lutionary innovations to replace stripping, some 
examples are explained in the figure legends 
(Figs. 6.34, 6."
Saphenous-Vein-Sparing.pdf,Page 166,3,treatment. SFJ,,"type 3 
with flow pattern as in Fig. 6.32a. (b) 
Bottom left: Preoperative image of the 
foot. (c) Top right post-operative 
control (10.01.2002): After exposure 
of the GSV at the thigh with 
disconn"
Saphenous-Vein-Sparing.pdf,Page 166,3,treatment. SFJ,,"treatment. SFJ is competent in 
post-­operative examination; tributary 
has reduced its calibre and is no longer 
visible. (d) Bottom right: Post-
operative image of the foot. This 
post-operative sit"
Saphenous-Vein-Sparing.pdf,Page 166,3,treatment. SFJ,,"160
a
b
c
d
Fig. 6.34  (a) Top left (12.11.2001) 
preoperative photograph: shunt type 3 
with flow pattern as in Fig. 6.32a. (b) 
Bottom left: Preoperative image of the 
foot. (c) Top right post-opera"
Saphenous-Vein-Sparing.pdf,Page 167,3,,,"161
them and that in the meantime there may be no 
cosmetic improvement.
In Germany, where the doctor is payed per 
procedure, the dissociated technique (CHIVA 2 
with two steps) was not a problem at "
Saphenous-Vein-Sparing.pdf,Page 167,3,,,"CHIVA 2, because it is highly probable to 
have a stable anterograde flow situation, and 
this is just the most important achievement of 
the technique to allow a refluxing GSV to 
revert to antegrade"
Saphenous-Vein-Sparing.pdf,Page 168,4,,,"type 4: N1 → N3 −  
N2 − N1
Recirculation in the saphenous vein with origin 
not directly from the deep venous system, but 
through a tributary, which may conduct reflux 
from pelvine vessels (Pelvine"
Saphenous-Vein-Sparing.pdf,Page 168,4,,,"type 4). Drainage directly from the saphenous 
vein to the deep vein via perforating vein analo-
gous to drainage in shunt type 1"
Saphenous-Vein-Sparing.pdf,Page 168,3,,,"type 3.
Variations of these shunt types are described 
in Chap. 3 (Fig. 6.39).
Following the CHIVA methodology, the cor-
rect procedure would be to interrupt the reflux 
source. In case"
Saphenous-Vein-Sparing.pdf,Page 168,5,,,"6.11.4	 Shunt Types 4 and 5
As the strategy in case of shunts 4 and 5 have some 
common points, they will be described together.
Shunt type 4:
Remember: Pelvine shunt type 4: P → N3 −  
N2 − N1
Perfo"
Saphenous-Vein-Sparing.pdf,Page 168,3,,,"22.11.2001 Preoperative 
photograph: shunt type 3 
with flow pattern as in 
Fig. 6.32c, which is also 
shown on the left border 
of the picture. (b)"
Saphenous-Vein-Sparing.pdf,Page 169,4,,,"type 4; see Fig.  6.17b) is an option: The little 
reflux might take years to develop, whilst the 
recidives after interruption often develop to both-
ering tributaries on the proximal thigh after som"
Saphenous-Vein-Sparing.pdf,Page 169,4,,,"type 4 is defined by the drainage from the 
GSV through a perforating vein on the GSV (mandatory). 
Additionally, there can be a drainage through a tributary. 
(a) Pelvic shunt type 4"
Saphenous-Vein-Sparing.pdf,Page 169,4,"treatment of the GSV distal to the confluence of 
the refluxing pelvic branches with endoluminal 
th",,"treatment of the GSV distal to the confluence of 
the refluxing pelvic branches with endoluminal 
thermal ablation of some centimetres may be one 
option and is being investigated. It would allow a 
d"
Saphenous-Vein-Sparing.pdf,Page 170,4,,,"Type 4
	(a)	 No distal tributaries present (Fig. 6.40a):
Interruption of the refluxing perforating vein
	(b)	 Tributaries present (Fig. 6.40b):
Interruption of the refluxing perforating vein 
and dist"
Saphenous-Vein-Sparing.pdf,Page 170,4,"treatment, it has to be consid-
ered, if a treat",,"Type 4
	(a)	 No distal tributaries present (see Fig. 6.41a): 
Prior to any treatment, it has to be consid-
ered, if a treatment is necessary. This is a 
typical case"
Saphenous-Vein-Sparing.pdf,Page 170,5,"treatment is very easy: inter-
ruption of the refluxing perforat",,"Type 5
In this situation, the treatment is very easy: inter-
ruption of the refluxing perforating vein and 
interruption of the refluxing tributary or tributar-
ies with flush ligation (see Fig. 6.42)"
Saphenous-Vein-Sparing.pdf,Page 170,5,"treatment, it has to be consid-
ered, if a treat",,"treatment, it has to be consid-
ered, if a treatment is necessary. This is a 
typical case of a “stable” reflux. It exists, but 
normally it does not harm the patient (no cos-
metic complaints because"
Saphenous-Vein-Sparing.pdf,Page 171,5,,,"type 5. The tributary could be dis-
connected again. However, our experi-
ence teaches that in almost all the 
situations, the reflux from the groin will 
a
b
Fig. 6.41  Shunt type 4"
Saphenous-Vein-Sparing.pdf,Page 171,5,,,"type 5 perforating vein: (a) Interruption of the perforating vein (green rectangle) and the tributary. (b) 
In almost all case"
Saphenous-Vein-Sparing.pdf,Page 171,5,,,"6.4.1.2–6.4.1.3). Reflux in saphenous trunk 
after tributary disconnection is only possi-
ble, if a new draining point has opened. 
There are two options:
–– Drainage through a new refluxing tribu-
ta"
Saphenous-Vein-Sparing.pdf,Page 172,4,"treatment 
is described there.
6.11.5	 Shunt Type 6
Remember: This is a conglomerat",,"type 4. Further treatment 
is described there.
6.11.5	 Shunt Type 6
Remember: This is a conglomeration of all reflux 
situations not covered by shunt types 1–5. The 
saphenous vein is not involved in"
Saphenous-Vein-Sparing.pdf,Page 172,4,,,"166
reappear, so it is the best to treat the pel-
vic reflux with one of the options as 
described above.
–– Drainage through a perforating vein on 
the saphenous vein. In this case we have 
a pelvic "
Saphenous-Vein-Sparing.pdf,Page 172,5,,,"6.11.6.1	
Connection via 
the Giacomini Vein
Reflux starting at the sapheno-popliteal junction 
(SPJ) can feed the Giacomini vein and then the 
great saphenous vein (GSV) as shown in 
a
b
Fig. 6.43  "
Saphenous-Vein-Sparing.pdf,Page 175,1,"treatment of the SSV will solve the reflux situa-
tion in the GSV.
6.11.7	 Remodelling a Refluxing ",,"treatment of the SSV will solve the reflux situa-
tion in the GSV.
6.11.7	 Remodelling a Refluxing 
System
In some cases, there is a very large reflux 
amount through a junction or a perforating vein"
